run_id,epochs,batch_size,learning_rate,pearson_mae,spearman_mae,RR_median,RR_p05,RR_p01,FR_median,FR_p05,pct_FR_below_RR1pct,near_dup_rate,eps_used,train_time_sec
1,600,500,0.001,0.0757,0.0869,0.9775,0.2314,0.0771,1.5315,1.0391,0,0,0.0098,218.41
2,600,500,0.002,0.0441,0.0656,0.9775,0.2314,0.0771,1.4281,0.8829,0,0,0.0098,214.43
3,1200,500,0.002,0.0611,0.0752,0.9775,0.2314,0.0771,1.2316,0.7979,0,0,0.0098,415.55
4,2400,500,0.002,0.0589,0.0882,0.9775,0.2314,0.0771,1.1491,0.741,0,0,0.0098,822.86
5,4800,500,0.002,0.059,0.0962,0.9775,0.2314,0.0771,1.1085,0.6771,0,0,0.0098,1637
6,600,1048,0.002,0.0701,0.0886,0.9775,0.2314,0.0771,1.6359,1.0023,0,0,0.0098,133.93
7,600,2096,0.002,0.2158,0.2147,0.9775,0.2314,0.0771,4.5552,2.0905,0,0,0.0098,93.92
8,20000,2096,0.002,0.0525,0.075,0.9775,0.2314,0.0771,1.0139,0.4456,0,0,0.0098,2715.33
9,600,256,0.002,0.0451,0.0738,0.9775,0.2314,0.0771,1.2548,0.8061,0,0,0.0098,377.71
10,600,128,0.002,0.0728,0.0969,0.9775,0.2314,0.0771,1.2686,0.8203,0,0,0.0098,722.29
11,600,500,0.002,0.0441,0.0656,0.9775,0.2314,0.0771,1.4281,0.8829,0,0,0.0098,216.8
12,600,500,0.002,0.0441,0.0656,0.9775,0.2314,0.0771,1.4281,0.8829,0,0,0.0098,218.86