run_id,epochs,batch_size,learning_rate,pearson_mae,spearman_mae,RR_ median,RR_p05,RR_p01,FR_ median,FR_p05,pct_FR_below_RR1pct,near_dop_rate,Eps_ used,train_time_sec,gen_time_sec
1,150,500,0.0002,0.047421471,0.058284906,0.9774,0.2314,0.0771,1.3276,0.8615,0,0,0.0097,171.44,0.13
2,300,500,0.0002,0.036651853,0.040775868,0.9774,0.2314,0.0771,1.2438,0.8122,0,0,0.0097,340.97,0.13
3,600,500,0.0002,0.02714288,0.03464983,0.9774,0.2314,0.0771,1.0146,0.7839,0,0,0.0097,683.76,0.13
3,150,256,0.0002,0.040785686,0.045400262,0.9774,0.2314,0.0771,1.2869,0.8485,0,0,0.0097,293.1,0.13
4,150,128,0.0002,0.026402261,0.038596338,0.9774,0.2314,0.0771,1.3539,0.8776,0,0,0.0097,489.23,0.18
5,150,500,0.0001,0.048013711,0.056151229,0.9774,0.2314,0.0771,1.7286,1.0841,0,0,0.0097,171.26,0.13
6,150,500,5.00E-05,0.17862668,0.187389974,0.9774,0.2314,0.0771,2.0184,1.2593,0,0,0.0097,169.91,0.2
7,200,128,0.0002,0.030763898,0.036270553,0.9774,0.2314,0.0771,1.2363,0.8185,0,0,0.0097,672.2,0.16
8,150,64,0.0002,0.033526411,0.03527477,0.9774,0.2314,0.0771,1.2638,0.8311,0,0,0.0097,918.84,0.22
9,150,128,0.0002,0.035205616,0.036696107,0.9774,0.2314,0.0771,1.2746,0.8954,0,0,0.0097,492.7,0.16
10,150,128,0.0002,0.122075802,0.126091101,0.9774,0.2314,0.0771,1.8719,1.0438,0,0,0.0097,498.1,0.26
11,150,128,0.0002,0.035062514,0.031418824,0.9774,0.2314,0.0771,1.3369,0.8812,0,0,0.0097,497.17,0.16